Tanggal;Makanan
29/9/2025;Krengseng Daging, Tahu Goreng, Mie Goreng Jawa, Sambal, Krupuk, 
30/9/2025;Ayam Koloke, Tahu Baso, Cap Cay Merah, Acar + Lombok, Krupuk, 
1/10/2025;Telor Dadar Padang, Tempe Goreng, Gulai Daun Singkong, Sambal Ijo, Krupuk, BUAH
2/10/2025;Khotok'an Panggangan, Tahu, Tempe, Terong, Sambal, Krupuk
3/10/2025;Sate Ayam Tanpa Tusuk, Tahu Baso Goreng, Bawang Merah, Jeruk, Sambal, Krupuk, 
4/10/2025;Opor Telor, Perkedel Tahu, Sambal Goreng Manisa, Sambal
6/10/2025;Pepes Tongkol, Dadar Jagung, Sayur Asem, Sambal, Krupuk, BUAH
7/10/2025;Soto Daging, Telor Rebus 1/2, Jeruk, Sambal, Krupuk, 
8/10/2025;Lontong, Gado - Gado Lengkap, Telor Rebus 1, Sambal, Krupuk, 
9/10/2025;Ayam Bakar Kecap, Tempe Goreng, Plecing Kangkung, Sambal, Krupuk, 
10/10/2025;Tongkol Mercon, Mendol Tahu, Lodeh Campur, Sambal, Krupuk, 
11/10/2025;Telor Geprek, Tempe Mendoan, Sayur Bayam, Sambal Bajak
13/10/2025;Soto Banjar, Telor Rebus 1/2, Kripik Kentang, Kecap, Jeruk, Sambal, Krupuk, 
14/10/2025;Lele Kremes, Tahu Goreng, Ca Sawi Ijo + Tahu, Sambal, Krupuk, BUAH
15/10/2025;Rawon Daging + Manisa, Telor Asin 1/2, Tauge Pendek, Sambal, Krupuk, 
16/10/2025;Telor Pindang, Tahu Bacem, Gudeg Tewel, Sambal, Krupuk, 
17/10/2025;Nasi Kuning, Ayam Serundeng, Kering Tempe Manis, Bihun Goreng, Sambal, Krupuk
18/10/2025;Sarden Tongkol, Tempe Goreng, Oseng Kacang Panjang, Sambal
20/10/2025;Telor Dadar, Tahu Baso, Sop Sehat, Sambal Kecap, Krupuk, 
21/10/2025;Ayam Bakar Bumbu Rujak, Tempe Bumbu Rujak, Urap - Urap, Krupuk
22/10/2025;Bandeng Presto, Dadar Jagung, Tumis Kangkung, Sambal, Krupuk, BUAH
23/10/2025;Lontong, Bakso Daging Sapi, Gorengan, Tahu Putih, Su'un, Kubis, Saos, Kecap, Jeruk, Sambal, Krupuk
24/10/2025;Kare Telor + Tahu, Kering Tempe Manis, Sambal, Krupuk
25/10/2025;Ayam Geprek, Tempe Goreng, Lalapan, Sambal Bawang
27/10/2025;Kakap Fillet, Tahu Goreng, Cap Cay Merah, Acar + Lombok, Krupuk, 
28/10/2025;Telor Ceplok, Wader Goreng Kering, Lodeh Tewel, Sambal, Krupuk, BUAH
29/10/2025;Dendeng Ragi, Dadar Jagung, Sayur Pecel, Krupuk
30/10/2025;Ayam Cabai Garam, Ote - Ote, Cah Aneka Sayur, Sambal
31/10/2025;Udang Crispy, Lento, Sayur Balap, Sambal Petis, Krupuk, 
1/11/2025;Balado Telor Teri, Tempe Goreng Tepung, Terong Balado
